date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,3,-4,0.0,8.7,2,71,03:26 PM,04:53 AM,08:27 AM,05:55 PM,-13,-5,-1,-5,26,14,40,0.0,1022,3,10,241,15,21043
2015-01-02,6,-1,0.0,8.7,2,78,04:12 PM,05:52 AM,08:27 AM,05:56 PM,-5,-2,2,-2,19,13,62,0.0,1026,6,10,289,10,21043
2015-01-03,5,-1,0.0,3.5,1,85,05:02 PM,06:47 AM,08:27 AM,05:57 PM,-1,-1,2,-1,16,67,81,3.6,1029,5,8,90,9,21043
2015-01-04,14,4,0.0,3.5,3,92,05:55 PM,07:38 AM,08:27 AM,05:57 PM,8,6,9,6,29,77,94,5.3,1013,14,8,229,17,21043
2015-01-05,1,-5,0.0,7.0,1,99,06:50 PM,08:23 AM,08:27 AM,05:58 PM,-8,-7,-0,-7,37,13,57,0.6,1026,1,9,299,24,21043
2015-01-06,-2,-7,5.9,3.5,1,95,07:46 PM,09:03 AM,08:27 AM,05:59 PM,-10,-9,-5,-9,13,66,73,6.9,1024,-2,5,251,9,21043
2015-01-07,-7,-12,0.0,9.7,1,88,08:42 PM,09:40 AM,08:27 AM,06:00 PM,-12,-16,-8,-16,34,34,72,0.1,1022,-7,8,294,22,21043
2015-01-08,-9,-15,0.0,9.7,2,81,09:38 PM,10:13 AM,08:27 AM,06:01 PM,-16,-20,-12,-20,26,17,73,0.0,1031,-9,10,248,16,21043
2015-01-09,-0,-8,0.0,9.8,1,74,10:33 PM,10:44 AM,08:27 AM,06:02 PM,-10,-12,-5,-12,29,41,65,0.0,1021,-0,9,250,18,21043
2015-01-10,-5,-13,0.0,9.8,2,68,11:28 PM,11:14 AM,08:26 AM,06:03 PM,-14,-16,-9,-16,19,1,68,0.0,1034,-5,10,269,12,21043
2015-01-11,1,-9,0.0,9.8,2,61,No moonrise,11:43 AM,08:26 AM,06:04 PM,-8,-8,-4,-8,18,32,72,0.1,1036,1,10,176,10,21043
2015-01-12,2,-0,0.0,4.9,1,54,12:23 AM,12:13 PM,08:26 AM,06:05 PM,-1,-3,1,-3,18,94,90,19.4,1026,2,6,188,11,21043
2015-01-13,-4,-6,0.5,9.8,2,47,01:20 AM,12:44 PM,08:26 AM,06:06 PM,-7,-11,-4,-11,26,25,78,0.6,1033,-4,10,65,17,21043
2015-01-14,-1,-6,1.0,4.9,1,41,02:18 AM,01:19 PM,08:25 AM,06:07 PM,-7,-8,-3,-8,15,82,73,1.2,1028,-1,7,65,11,21043
2015-01-15,2,-3,0.0,9.8,2,34,03:17 AM,01:58 PM,08:25 AM,06:08 PM,-6,-4,-1,-4,14,18,72,0.0,1021,2,10,287,9,21043
2015-01-16,5,-2,0.0,9.8,1,27,04:17 AM,02:43 PM,08:25 AM,06:09 PM,-5,-4,1,-4,28,19,69,0.0,1018,5,10,243,18,21043
2015-01-17,0,-5,0.0,9.9,1,20,05:18 AM,03:35 PM,08:24 AM,06:10 PM,-10,-7,-2,-7,19,24,56,0.0,1027,0,10,109,13,21043
2015-01-18,5,-1,0.0,6.6,1,13,06:17 AM,04:33 PM,08:24 AM,06:11 PM,1,-2,2,-2,20,57,94,19.4,1014,5,9,214,11,21043
2015-01-19,5,-1,0.0,9.9,1,7,07:13 AM,05:38 PM,08:23 AM,06:12 PM,-2,-2,2,-2,22,32,79,0.0,1014,5,10,275,13,21043
2015-01-20,7,-0,0.0,9.9,1,0,08:04 AM,06:48 PM,08:23 AM,06:14 PM,-1,1,3,1,8,37,78,0.0,1015,7,10,144,4,21043
2015-01-21,1,-2,1.9,5.0,1,7,08:51 AM,08:00 PM,08:22 AM,06:15 PM,-2,-4,-1,-4,12,72,89,8.3,1020,1,6,99,8,21043
