date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,4,-3,0.0,8.7,2,71,03:25 PM,04:53 AM,08:26 AM,05:55 PM,-12,-5,0,-5,27,15,41,0.0,1022,4,10,241,16,21240
2015-01-02,6,0,0.0,8.7,2,78,04:11 PM,05:52 AM,08:26 AM,05:55 PM,-4,-1,3,-1,19,12,62,0.0,1026,6,10,291,11,21240
2015-01-03,6,1,0.0,3.5,1,85,05:02 PM,06:46 AM,08:26 AM,05:56 PM,0,-0,3,-0,15,65,81,1.9,1029,6,8,87,9,21240
2015-01-04,15,5,0.0,3.5,3,92,05:55 PM,07:37 AM,08:26 AM,05:57 PM,8,6,9,6,31,76,93,2.9,1013,15,9,229,18,21240
2015-01-05,2,-4,0.0,7.0,1,99,06:50 PM,08:22 AM,08:26 AM,05:58 PM,-8,-6,0,-6,37,13,57,0.1,1026,2,9,300,25,21240
2015-01-06,-1,-6,5.2,3.5,1,95,07:46 PM,09:03 AM,08:26 AM,05:59 PM,-9,-8,-4,-8,12,64,72,6.1,1024,-1,6,252,9,21240
2015-01-07,-6,-12,0.0,9.7,1,88,08:41 PM,09:39 AM,08:26 AM,06:00 PM,-12,-15,-7,-15,36,31,72,0.0,1022,-6,8,296,23,21240
2015-01-08,-9,-14,0.0,9.8,2,81,09:37 PM,10:12 AM,08:26 AM,06:01 PM,-15,-19,-11,-19,27,16,72,0.0,1031,-9,10,251,17,21240
2015-01-09,0,-6,0.0,9.8,1,74,10:32 PM,10:43 AM,08:26 AM,06:02 PM,-10,-11,-4,-11,30,38,64,0.0,1021,0,10,253,19,21240
2015-01-10,-4,-12,0.0,9.8,2,68,11:28 PM,11:13 AM,08:26 AM,06:03 PM,-13,-15,-8,-15,20,1,68,0.0,1034,-4,10,270,13,21240
2015-01-11,1,-7,0.0,9.8,2,61,No moonrise,11:43 AM,08:26 AM,06:04 PM,-7,-7,-3,-7,19,32,72,0.1,1036,1,10,176,10,21240
2015-01-12,2,0,0.0,4.9,1,54,12:23 AM,12:12 PM,08:25 AM,06:05 PM,-0,-3,1,-3,18,89,89,23.8,1026,2,5,188,10,21240
2015-01-13,-3,-6,0.5,9.8,2,47,01:20 AM,12:44 PM,08:25 AM,06:06 PM,-7,-10,-3,-10,27,29,77,0.6,1033,-3,10,63,18,21240
2015-01-14,-1,-6,1.2,4.9,1,41,02:17 AM,01:19 PM,08:25 AM,06:07 PM,-7,-8,-3,-8,17,83,74,1.5,1028,-1,6,64,12,21240
2015-01-15,3,-3,0.0,9.8,2,34,03:17 AM,01:58 PM,08:24 AM,06:08 PM,-5,-4,-0,-4,16,20,72,0.0,1020,3,10,289,10,21240
2015-01-16,6,-1,0.0,9.9,1,27,04:17 AM,02:42 PM,08:24 AM,06:09 PM,-4,-4,1,-4,31,17,68,0.0,1018,6,10,243,20,21240
