origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
Capital,Capital,,0.0000000,,
Capital,Bella Vista,10614.3855158,175125.1432577,27833.4253463,213572.9541198
Capital,Departartamento Beron de Astrada,10614.3855158,135748.8374216,8754.0021951,155117.2251326
Capital,Concepcion,10614.3855158,162961.0893497,22708.3855719,196283.8604375
Capital,Curuzu Cuatia,10614.3855158,300652.8411178,8346.2604857,319613.4871194
Capital,Empedrado,10614.3855158,45491.2034528,2229.8684496,58335.4574183
Capital,Esquina,10614.3855158,317478.7057316,2343.7722209,330436.8634683
Capital,Departamento General Alvear,10614.3855158,401271.8615732,10959.7976890,422846.0447780
Capital,Departamento General Paz,10614.3855158,212548.6040448,23261.5634817,246424.5530424
Capital,Goya,10614.3855158,223417.3973796,10757.2401710,244789.0230664
Capital,Itati,10614.3855158,58848.6108770,10226.3480242,79689.3444170
Capital,Ituzaingo,10614.3855158,216886.8259391,7136.4546080,234637.6660629
Capital,Lavalle,10614.3855158,210609.4933382,15977.9407926,237201.8196467
Capital,Mburucuya,10614.3855158,140799.7665711,26223.7016010,177637.8536880
Capital,Mercedes,10614.3855158,218089.2660685,5020.3067126,233723.9582969
Capital,Monte Caseros,10614.3855158,345256.5880137,26737.2007317,382608.1742612
Capital,Paso de los Libres,10614.3855158,346994.7120357,6312.7632535,363921.8608051
Capital,Saladas,10614.3855158,98161.3646802,17494.9011340,126270.6513301
Capital,San Cosme,10614.3855158,25511.6917539,8889.7113288,45015.7885985
Capital,San Luis del Palmar,10614.3855158,25511.6917539,13975.0313828,50101.1086525
Capital,Departamento San Martin,10614.3855158,387086.6627822,12625.0211993,410326.0694973
Capital,Departamento San Miguel,10614.3855158,199766.0423715,6781.4573733,217161.8852607
Capital,San Roque,10614.3855158,122759.7479621,5391.2224765,138765.3559544
Capital,Santo Tome,10614.3855158,387038.5648593,2843.6735059,400496.6238810
Capital,Sauce,10614.3855158,385136.6697437,54383.6140275,450134.6692871
Bella Vista,Capital,27833.4253463,175125.1432577,10614.3855158,213572.9541198
Bella Vista,Bella Vista,27833.4253463,0.0000000,10614.3855158,213572.9541198
Bella Vista,Departartamento Beron de Astrada,27833.4253463,310873.9806793,8754.0021951,347461.4082207
Bella Vista,Concepcion,27833.4253463,158545.0784914,22708.3855719,209086.8894096
Bella Vista,Curuzu Cuatia,27833.4253463,183051.7284076,8346.2604857,219231.4142397
Bella Vista,Empedrado,27833.4253463,129633.9398049,2229.8684496,159697.2336008
Bella Vista,Esquina,27833.4253463,199877.5930214,2343.7722209,230054.7905886
Bella Vista,Departamento General Alvear,27833.4253463,283670.7488630,10959.7976890,322463.9718983
Bella Vista,Departamento General Paz,27833.4253463,208132.5931864,23261.5634817,259227.5820144
Bella Vista,Goya,27833.4253463,105816.2846694,10757.2401710,144406.9501867
Bella Vista,Itati,27833.4253463,233973.7541347,10226.3480242,272033.5275051
Bella Vista,Ituzaingo,27833.4253463,304035.7711532,7136.4546080,339005.6511074
Bella Vista,Lavalle,27833.4253463,93008.3806281,15977.9407926,136819.7467670
Bella Vista,Mburucuya,27833.4253463,136383.7557128,26223.7016010,190440.8826601
Bella Vista,Mercedes,27833.4253463,100488.1533584,5020.3067126,133341.8854172
Bella Vista,Monte Caseros,27833.4253463,227655.4753036,26737.2007317,282226.1013815
Bella Vista,Paso de los Libres,27833.4253463,229393.5993256,6312.7632535,263539.7879254
Bella Vista,Saladas,27833.4253463,76963.7785774,17494.9011340,122292.1050577
Bella Vista,San Cosme,27833.4253463,200636.8350116,8889.7113288,237359.9716866
Bella Vista,San Luis del Palmar,27833.4253463,200636.8350116,13975.0313828,242445.2917406
Bella Vista,Departamento San Martin,27833.4253463,269485.5500721,12625.0211993,309943.9966176
Bella Vista,Departamento San Miguel,27833.4253463,195350.0315132,6781.4573733,229964.9142328
Bella Vista,San Roque,27833.4253463,52365.3952955,5391.2224765,85590.0431183
Bella Vista,Santo Tome,27833.4253463,372743.1515444,2843.6735059,403420.2503966
Bella Vista,Sauce,27833.4253463,267535.5570336,54383.6140275,349752.5964074
Departartamento Beron de Astrada,Capital,8754.0021951,135748.8374216,10614.3855158,155117.2251326
Departartamento Beron de Astrada,Bella Vista,8754.0021951,310873.9806793,27833.4253463,347461.4082207
Departartamento Beron de Astrada,Departartamento Beron de Astrada,8754.0021951,0.0000000,27833.4253463,347461.4082207
Departartamento Beron de Astrada,Concepcion,8754.0021951,159108.5681499,22708.3855719,190570.9559169
Departartamento Beron de Astrada,Curuzu Cuatia,8754.0021951,436401.6785394,8346.2604857,453501.9412203
Departartamento Beron de Astrada,Empedrado,8754.0021951,181240.0408744,2229.8684496,192223.9115192
Departartamento Beron de Astrada,Esquina,8754.0021951,453227.5431532,2343.7722209,464325.3175692
Departartamento Beron de Astrada,Departamento General Alvear,8754.0021951,340362.1301190,10959.7976890,360075.9300031
Departartamento Beron de Astrada,Departamento General Paz,8754.0021951,109521.0534548,23261.5634817,141536.6191317
Departartamento Beron de Astrada,Goya,8754.0021951,359166.2348012,10757.2401710,378677.4771673
Departartamento Beron de Astrada,Itati,8754.0021951,76900.2265446,10226.3480242,95880.5767639
Departartamento Beron de Astrada,Ituzaingo,8754.0021951,81137.9885174,7136.4546080,97028.4453205
Departartamento Beron de Astrada,Lavalle,8754.0021951,346358.3307599,15977.9407926,371090.2737476
Departartamento Beron de Astrada,Mburucuya,8754.0021951,181269.8909285,26223.7016010,216247.5947246
Departartamento Beron de Astrada,Mercedes,8754.0021951,353838.1034902,5020.3067126,367612.4123978
Departartamento Beron de Astrada,Monte Caseros,8754.0021951,481005.4254354,26737.2007317,516496.6283621
Departartamento Beron de Astrada,Paso de los Libres,8754.0021951,442257.8198986,6312.7632535,457324.5853473
Departartamento Beron de Astrada,Saladas,8754.0021951,233910.2021019,17494.9011340,260159.1054309
Departartamento Beron de Astrada,San Cosme,8754.0021951,110237.1456678,8889.7113288,127880.8591916
Departartamento Beron de Astrada,San Luis del Palmar,8754.0021951,110237.1456678,13975.0313828,132966.1792456
Departartamento Beron de Astrada,Departamento San Martin,8754.0021951,354547.3289100,12625.0211993,375926.3523043
Departartamento Beron de Astrada,Departamento San Miguel,8754.0021951,122303.6151281,6781.4573733,137839.0746965
Departartamento Beron de Astrada,San Roque,8754.0021951,258508.5853838,5391.2224765,272653.8100553
Departartamento Beron de Astrada,Santo Tome,8754.0021951,251289.7274376,2843.6735059,262887.4031386
Departartamento Beron de Astrada,Sauce,8754.0021951,520885.5071654,54383.6140275,584023.1233880
Concepcion,Capital,22708.3855719,162961.0893497,10614.3855158,196283.8604375
Concepcion,Bella Vista,22708.3855719,158545.0784914,27833.4253463,209086.8894096
Concepcion,Departartamento Beron de Astrada,22708.3855719,159108.5681499,8754.0021951,190570.9559169
Concepcion,Concepcion,22708.3855719,0.0000000,8754.0021951,190570.9559169
Concepcion,Curuzu Cuatia,22708.3855719,284072.7763515,8346.2604857,315127.4224091
Concepcion,Empedrado,22708.3855719,117469.8858969,2229.8684496,142408.1399185
Concepcion,Esquina,22708.3855719,300898.6409653,2343.7722209,325950.7987581
Concepcion,Departamento General Alvear,22708.3855719,384691.7968069,10959.7976890,418359.9800678
Concepcion,Departamento General Paz,22708.3855719,49587.5146951,23261.5634817,95557.4637487
Concepcion,Goya,22708.3855719,206837.3326133,10757.2401710,240302.9583562
Concepcion,Itati,22708.3855719,221809.7002267,10226.3480242,254744.4338228
Concepcion,Ituzaingo,22708.3855719,145490.6926618,7136.4546080,175335.5328417
Concepcion,Lavalle,22708.3855719,194029.4285719,15977.9407926,232715.7549364
Concepcion,Mburucuya,22708.3855719,22161.3227786,26223.7016010,71093.4099515
Concepcion,Mercedes,22708.3855719,201509.2013022,5020.3067126,229237.8935867
Concepcion,Monte Caseros,22708.3855719,328676.5232474,26737.2007317,378122.1095510
Concepcion,Paso de los Libres,22708.3855719,330414.6472694,6312.7632535,359435.7960949
Concepcion,Saladas,22708.3855719,81581.2999139,17494.9011340,121784.5866198
Concepcion,San Cosme,22708.3855719,188472.7811036,8889.7113288,220070.8780043
Concepcion,San Luis del Palmar,22708.3855719,188472.7811036,13975.0313828,225156.1980583
Concepcion,Departamento San Martin,22708.3855719,370506.5980159,12625.0211993,405840.0047871
Concepcion,Departamento San Miguel,22708.3855719,36804.9530218,6781.4573733,66294.7959671
Concepcion,San Roque,22708.3855719,106179.6831958,5391.2224765,134279.2912442
Concepcion,Santo Tome,22708.3855719,315642.4315820,2843.6735059,341194.4906598
Concepcion,Sauce,22708.3855719,368556.6049774,54383.6140275,445648.6045769
Curuzu Cuatia,Capital,8346.2604857,300652.8411178,10614.3855158,319613.4871194
Curuzu Cuatia,Bella Vista,8346.2604857,183051.7284076,27833.4253463,219231.4142397
Curuzu Cuatia,Departartamento Beron de Astrada,8346.2604857,436401.6785394,8754.0021951,453501.9412203
Curuzu Cuatia,Concepcion,8346.2604857,284072.7763515,22708.3855719,315127.4224091
Curuzu Cuatia,Curuzu Cuatia,8346.2604857,0.0000000,22708.3855719,315127.4224091
Curuzu Cuatia,Empedrado,8346.2604857,255161.6376650,2229.8684496,265737.7666004
Curuzu Cuatia,Esquina,8346.2604857,325405.2908815,2343.7722209,336095.3235882
Curuzu Cuatia,Departamento General Alvear,8346.2604857,197185.8290487,10959.7976890,216491.8872234
Curuzu Cuatia,Departamento General Paz,8346.2604857,333660.2910466,23261.5634817,365268.1150140
Curuzu Cuatia,Goya,8346.2604857,231343.9825295,10757.2401710,250447.4831863
Curuzu Cuatia,Itati,8346.2604857,359501.4519948,10226.3480242,378074.0605047
Curuzu Cuatia,Ituzaingo,8346.2604857,429563.4690133,7136.4546080,445046.1841070
Curuzu Cuatia,Lavalle,8346.2604857,218536.0784882,15977.9407926,242860.2797665
Curuzu Cuatia,Mburucuya,8346.2604857,261911.4535729,26223.7016010,296481.4156597
Curuzu Cuatia,Mercedes,8346.2604857,82563.5750493,5020.3067126,95930.1422476
Curuzu Cuatia,Monte Caseros,8346.2604857,44603.7468959,26737.2007317,79687.2081133
Curuzu Cuatia,Paso de los Libres,8346.2604857,115299.9354071,6312.7632535,129958.9591464
Curuzu Cuatia,Saladas,8346.2604857,202491.4764376,17494.9011340,228332.6380573
Curuzu Cuatia,San Cosme,8346.2604857,326164.5328717,8889.7113288,343400.5046862
Curuzu Cuatia,San Luis del Palmar,8346.2604857,326164.5328717,13975.0313828,348485.8247402
Curuzu Cuatia,Departamento San Martin,8346.2604857,183000.6302577,12625.0211993,203971.9119427
Curuzu Cuatia,Departamento San Miguel,8346.2604857,320877.7293733,6781.4573733,336005.4472324
Curuzu Cuatia,San Roque,8346.2604857,177893.0931557,5391.2224765,191630.5761179
Curuzu Cuatia,Santo Tome,8346.2604857,286258.2317301,2843.6735059,297448.1657217
Curuzu Cuatia,Sauce,8346.2604857,84483.8286259,54383.6140275,147213.7031392
Empedrado,Capital,2229.8684496,45491.2034528,10614.3855158,58335.4574183
Empedrado,Bella Vista,2229.8684496,129633.9398049,27833.4253463,159697.2336008
Empedrado,Departartamento Beron de Astrada,2229.8684496,181240.0408744,8754.0021951,192223.9115192
Empedrado,Concepcion,2229.8684496,117469.8858969,22708.3855719,142408.1399185
Empedrado,Curuzu Cuatia,2229.8684496,255161.6376650,8346.2604857,265737.7666004
Empedrado,Empedrado,2229.8684496,0.0000000,8346.2604857,265737.7666004
Empedrado,Esquina,2229.8684496,271987.5022788,2343.7722209,276561.1429493
Empedrado,Departamento General Alvear,2229.8684496,355780.6581204,10959.7976890,368970.3242590
Empedrado,Departamento General Paz,2229.8684496,167057.4005920,23261.5634817,192548.8325233
Empedrado,Goya,2229.8684496,177926.1939268,10757.2401710,190913.3025474
Empedrado,Itati,2229.8684496,104339.8143298,10226.3480242,116796.0308036
Empedrado,Ituzaingo,2229.8684496,262378.0293918,7136.4546080,271744.3524495
Empedrado,Lavalle,2229.8684496,165118.2898854,15977.9407926,183326.0991277
Empedrado,Mburucuya,2229.8684496,95308.5631184,26223.7016010,123762.1331690
Empedrado,Mercedes,2229.8684496,172598.0626157,5020.3067126,179848.2377779
Empedrado,Monte Caseros,2229.8684496,299765.3845609,26737.2007317,328732.4537422
Empedrado,Paso de los Libres,2229.8684496,301503.5085830,6312.7632535,310046.1402861
Empedrado,Saladas,2229.8684496,52670.1612274,17494.9011340,72394.9308110
Empedrado,San Cosme,2229.8684496,71002.8952067,8889.7113288,82122.4749851
Empedrado,San Luis del Palmar,2229.8684496,71002.8952067,13975.0313828,87207.7950391
Empedrado,Departamento San Martin,2229.8684496,341595.4593294,12625.0211993,356450.3489783
Empedrado,Departamento San Miguel,2229.8684496,154274.8389187,6781.4573733,163286.1647417
Empedrado,San Roque,2229.8684496,77268.5445093,5391.2224765,84889.6354354
Empedrado,Santo Tome,2229.8684496,432529.7683121,2843.6735059,437603.3102676
Empedrado,Sauce,2229.8684496,339645.4662909,54383.6140275,396258.9487681
Esquina,Capital,2343.7722209,317478.7057316,10614.3855158,330436.8634683
Esquina,Bella Vista,2343.7722209,199877.5930214,27833.4253463,230054.7905886
Esquina,Departartamento Beron de Astrada,2343.7722209,453227.5431532,8754.0021951,464325.3175692
Esquina,Concepcion,2343.7722209,300898.6409653,22708.3855719,325950.7987581
Esquina,Curuzu Cuatia,2343.7722209,325405.2908815,8346.2604857,336095.3235882
Esquina,Empedrado,2343.7722209,271987.5022788,2229.8684496,276561.1429493
Esquina,Esquina,2343.7722209,0.0000000,2229.8684496,276561.1429493
Esquina,Departamento General Alvear,2343.7722209,426024.3113369,10959.7976890,439327.8812468
Esquina,Departamento General Paz,2343.7722209,350486.1556603,23261.5634817,376091.4913629
Esquina,Goya,2343.7722209,94061.3083520,10757.2401710,107162.3207439
Esquina,Itati,2343.7722209,376327.3166086,10226.3480242,388897.4368536
Esquina,Ituzaingo,2343.7722209,446389.3336271,7136.4546080,455869.5604559
Esquina,Lavalle,2343.7722209,106869.2123934,15977.9407926,125190.9254068
Esquina,Mburucuya,2343.7722209,278737.3181867,26223.7016010,307304.7920086
Esquina,Mercedes,2343.7722209,242841.7158323,5020.3067126,250205.7947657
Esquina,Monte Caseros,2343.7722209,370009.0377775,26737.2007317,399090.0107300
Esquina,Paso de los Libres,2343.7722209,371747.1617995,6312.7632535,380403.6972739
Esquina,Saladas,2343.7722209,219317.3410513,17494.9011340,239156.0144062
Esquina,San Cosme,2343.7722209,342990.3974855,8889.7113288,354223.8810351
Esquina,San Luis del Palmar,2343.7722209,342990.3974855,13975.0313828,359309.2010891
Esquina,Departamento San Martin,2343.7722209,411839.1125460,12625.0211993,426807.9059661
Esquina,Departamento San Miguel,2343.7722209,337703.5939871,6781.4573733,346828.8235813
Esquina,San Roque,2343.7722209,194718.9577694,5391.2224765,202453.9524668
Esquina,Santo Tome,2343.7722209,515096.7140183,2843.6735059,520284.1597451
Esquina,Sauce,2343.7722209,375871.9370949,54383.6140275,432599.3233433
Departamento General Alvear,Capital,10959.7976890,401271.8615732,10614.3855158,422846.0447780
Departamento General Alvear,Bella Vista,10959.7976890,283670.7488630,27833.4253463,322463.9718983
Departamento General Alvear,Departartamento Beron de Astrada,10959.7976890,340362.1301190,8754.0021951,360075.9300031
Departamento General Alvear,Concepcion,10959.7976890,384691.7968069,22708.3855719,418359.9800678
Departamento General Alvear,Curuzu Cuatia,10959.7976890,197185.8290487,8346.2604857,216491.8872234
Departamento General Alvear,Empedrado,10959.7976890,355780.6581204,2229.8684496,368970.3242590
Departamento General Alvear,Esquina,10959.7976890,426024.3113369,2343.7722209,439327.8812468
Departamento General Alvear,Departamento General Alvear,10959.7976890,0.0000000,2343.7722209,439327.8812468
Departamento General Alvear,Departamento General Paz,10959.7976890,355127.3195683,23261.5634817,389348.6807391
Departamento General Alvear,Goya,10959.7976890,331963.0029849,10757.2401710,353680.0408449
Departamento General Alvear,Itati,10959.7976890,417262.3566637,10226.3480242,438448.5023768
Departamento General Alvear,Ituzaingo,10959.7976890,259224.1416016,7136.4546080,277320.3938986
Departamento General Alvear,Lavalle,10959.7976890,319155.0989436,15977.9407926,346092.8374252
Departamento General Alvear,Mburucuya,10959.7976890,362530.4740283,26223.7016010,399713.9733183
Departamento General Alvear,Mercedes,10959.7976890,183182.5955046,5020.3067126,199162.6999062
Departamento General Alvear,Monte Caseros,10959.7976890,152582.0821527,26737.2007317,190279.0805734
Departamento General Alvear,Paso de los Libres,10959.7976890,101895.6897796,6312.7632535,119168.2507222
