origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
Capital,Capital,,0.0000000,,
Capital,Bella Vista,0.3432623,5.6634333,0.9001149,6.9068106
Capital,Departartamento Beron de Astrada,0.3432623,4.3900292,0.2830987,5.0163903
Capital,Concepcion,0.3432623,5.2700557,0.7343744,6.3476925
Capital,Curuzu Cuatia,0.3432623,9.7229175,0.2699126,10.3360925
Capital,Empedrado,0.3432623,1.4711560,0.0721125,1.8865308
Capital,Esquina,0.3432623,10.2670551,0.0757961,10.6861135
Capital,Departamento General Alvear,0.3432623,12.9768713,0.3544327,13.6745663
Capital,Departamento General Paz,0.3432623,6.8736837,0.7522638,7.9692099
Capital,Goya,0.3432623,7.2251735,0.3478822,7.9163179
Capital,Itati,0.3432623,1.9031258,0.3307135,2.5771016
Capital,Ituzaingo,0.3432623,7.0139790,0.2307883,7.5880297
Capital,Lavalle,0.3432623,6.8109742,0.5167162,7.6709527
Capital,Mburucuya,0.3432623,4.5533730,0.8480575,5.7446928
Capital,Mercedes,0.3432623,7.0528652,0.1623535,7.5584809
Capital,Monte Caseros,0.3432623,11.1653737,0.8646637,12.3732997
Capital,Paso de los Libres,0.3432623,11.2215835,0.2041507,11.7689965
Capital,Saladas,0.3432623,3.1744748,0.5657737,4.0835108
Capital,San Cosme,0.3432623,0.8250315,0.2874875,1.4557814
Capital,San Luis del Palmar,0.3432623,0.8250315,0.4519434,1.6202373
Capital,Departamento San Martin,0.3432623,12.5181312,0.4082850,13.2696785
Capital,Departamento San Miguel,0.3432623,6.4603040,0.2193079,7.0228743
Capital,San Roque,0.3432623,3.9699705,0.1743486,4.4875814
Capital,Santo Tome,0.3432623,12.5165757,0.0919626,12.9518006
Capital,Sauce,0.3432623,12.4550696,1.7587307,14.5570627
Bella Vista,Capital,0.9001149,5.6634333,0.3432623,6.9068106
Bella Vista,Bella Vista,0.9001149,0.0000000,0.3432623,6.9068106
Bella Vista,Departartamento Beron de Astrada,0.9001149,10.0534625,0.2830987,11.2366762
